ID,Verified,Item Description,Item Type,Status,Alphabetical Sort,AutoFillVerified,AutoFillVerified1,Created,Created By,ItemDescriptionHTMLEncoded,Location,Modified,Modified By,Relationship,Title,Verification Source,Verified Alternates,VerifiedAlternatesHTMLEncoded,VerifiedHTMLEncoded,Encoded Absolute URL,Item Type1,Path,URL Path,Workflow Instance ID,Comments,File Type
6,"Aboriginal rights and title issue
","
",46;#Style,,aboriginalrights and title issue,,,3/9/2012,LASS\DKerr,"<div class=""ExternalClass071DB4B03DB648C6B8369DFB5E27311E""> <div></div></div>",,9/12/2017,LASS\MBeninger,,Aboriginal rights and title issue,"ETLs, PJC","
","<div class=""ExternalClass7ED44B8DEB734087BE6B64255DA274CA""> <div></div></div>","<div class=""ExternalClass0396F126470B463193341C7F7A5DBDF6""> <div><strong>Aboriginal rights and title issue</strong></div></div>",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/6_.000;#6,,ALT aboriginalrights and title issue or aboriginal-rights and title issue,
281,A licence,liquor vendor licence [2007],16;#Technical ? Scientific Terms,,A3A licence,,,9/13/2011,LASS\DKerr,liquor vendor licence [2007],,6/20/2013,System Account,,A licence,VList,,,A licence,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/281_.000;#281,,,
350,à la prochaine fois,"""until next time"" (French) [2007]",17;#Non-English Words ? Phrases,,A3à la prochaine fois,,,9/13/2011,LASS\DKerr,&quot;until next time&quot; (French) [2007],,6/20/2013,System Account,,à la prochaine fois,VList,,,<em>à la prochaine fois</em>,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/350_.000;#350,,SC,
378,Abbeyfield society; Abbeyfield societies,descriptive reference to one or more Abbeyfield housing organizations [2003],7;#Organizations,,Abbeyfield society; Abbeyfield societies,,,9/13/2011,LASS\DKerr,descriptive reference to one or more Abbeyfield housing organizations [2003],,6/20/2013,System Account,,Abbeyfield society; Abbeyfield societies,VList,,,Abbeyfield society; Abbeyfield societies,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/378_.000;#378,,,
379,Abbotsford Airport Authority,[2007],7;#Organizations,,Abbotsford Airport Authority,,,9/13/2011,LASS\DKerr,[2007],,6/20/2013,System Account,,Abbotsford Airport Authority,VList,,,Abbotsford Airport Authority,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/379_.000;#379,,,
380,Abbotsford Arts Council,[2007],7;#Organizations,,Abbotsford Arts Council,,,9/13/2011,LASS\DKerr,[2007],,6/20/2013,System Account,,Abbotsford Arts Council,VList,,,Abbotsford Arts Council,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/380_.000;#380,,,
381,Abbotsford Barley Hoppers,hockey team [2009],7;#Organizations,,Abbotsford Barley Hoppers,,,9/13/2011,LASS\DKerr,hockey team [2009],,6/20/2013,System Account,,Abbotsford Barley Hoppers,VList,,,Abbotsford Barley Hoppers,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/381_.000;#381,,,
382,Abbotsford Bhangra,youth dance troupe [2007],7;#Organizations,,Abbotsford Bhangra,,,9/13/2011,LASS\DKerr,youth dance troupe [2007],,6/20/2013,System Account,,Abbotsford Bhangra,VList,,,Abbotsford Bhangra,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/382_.000;#382,,,
383,Abbotsford Chamber of Commerce,[2002],7;#Organizations,,Abbotsford Chamber of Commerce,,,9/13/2011,LASS\DKerr,[2002],,6/20/2013,System Account,,Abbotsford Chamber of Commerce,VList,,,Abbotsford Chamber of Commerce,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/383_.000;#383,,,
385,A ticket,third level of education for welders and electricians [2006],16;#Technical ? Scientific Terms,,A3A ticket,,,9/13/2011,LASS\DKerr,third level of education for welders and electricians [2006],,6/20/2013,System Account,,A ticket,VList,,,A ticket,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/385_.000;#385,,,
390,A&A Laundry Ltd.,hospital housekeeping contractor [2003],51;#Organizations:Health sector organizations,,A&A Laundry Ltd.,,,9/13/2011,LASS\DKerr,hospital housekeeping contractor [2003],,6/20/2013,System Account,,A&A Laundry Ltd.,VList,,,A&amp;A Laundry Ltd.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/390_.000;#390,,,
391,A&A Trading Ltd.,B.C. log-broking co. [2002],7;#Organizations,,A&A Trading Ltd.,,,9/13/2011,LASS\DKerr,B.C. log-broking co. [2002],,6/20/2013,System Account,,A&A Trading Ltd.,VList,,,A&amp;A Trading Ltd.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/391_.000;#391,,,
392,A&E,Arts and Entertainment channel [2006ns],7;#Organizations,,A&E,,,9/13/2011,LASS\DKerr,Arts and Entertainment channel [2006ns],,6/20/2013,System Account,,A&E,VList,,,A&amp;E,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/392_.000;#392,,,
393,A&W Food Services of Canada Inc.,[2006],7;#Organizations,,A&W Food Services of Canada Inc.,,,9/13/2011,LASS\DKerr,[2006],,6/20/2013,System Account,,A&W Food Services of Canada Inc.,VList,,,A&amp;W Food Services of Canada Inc.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/393_.000;#393,,,
394,A.B.C. Recycling Ltd.,Burnaby [2008],7;#Organizations,,A.B.C. Recycling Ltd.,,,9/13/2011,LASS\DKerr,Burnaby [2008],,6/20/2013,System Account,,A.B.C. Recycling Ltd.,VList,,,A.B.C. Recycling Ltd.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/394_.000;#394,,,
395,A.C. Nielsen Co. of Canada Ltd.,TV ratings [2007],7;#Organizations,,A.C. Nielsen Co. of Canada Ltd.,,,9/13/2011,LASS\DKerr,TV ratings [2007],,6/20/2013,System Account,,A.C. Nielsen Co. of Canada Ltd.,VList,,,A.C. Nielsen Co. of Canada Ltd.,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/395_.000;#395,,,
399,"AA+, AA-, AAA",credit ratings by Standard and Poor's [2006],16;#Technical ? Scientific Terms,,"AA+, AA-, AAA",,,9/13/2011,LASS\DKerr,credit ratings by Standard and Poor's [2006],,6/20/2013,System Account,,"AA+, AA-, AAA",VList,,,"AA+, AA-, AAA",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/399_.000;#399,,,
400,"AA+, AA-, AAA (also triple-A)","credit ratings by Standard and Poor's [2009]; see Greens for adjectival styling of ""triple-A""",16;#Technical ? Scientific Terms,,"AA+, AA-, AAA (also triple-A)",,,9/13/2011,LASS\DKerr,credit ratings by Standard and Poor's [2009]; see Greens for adjectival styling of &quot;triple-A&quot;,,2/23/2015,LASS\RSwanson,,"AA+, AA-, AAA (also triple-A)",VList,,<div></div>,"AA+, AA-, AAA (also triple-A)",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/400_.000;#400,,SC,
401,AAA Provincial High School Boys Basketball Championship Tournament,[2010],13;#Events ? Awards,,AAA Provincial High School Boys Basketball Championship Tournament,,,9/13/2011,LASS\DKerr,[2010],,6/20/2013,System Account,,AAA Provincial High School Boys Basketball Championship Tournament,VList,,,AAA Provincial High School Boys Basketball Championship Tournament,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/401_.000;#401,,,
402,AAC,annual allowable cut or allowable annual cut [2011],16;#Technical ? Scientific Terms,,AAC,,,9/13/2011,LASS\DKerr,annual allowable cut or allowable annual cut [2011],,6/20/2013,System Account,,AAC,VList,,,AAC,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/402_.000;#402,,SC,
403,"Aalberg, John",VANOC director of Whistler Olympic Park [2009 39th1st],1;#People,,"Aalberg, John",,,9/13/2011,LASS\DKerr,VANOC director of Whistler Olympic Park [2009 39th1st],,6/20/2013,System Account,,"Aalberg, John",People List,,,"Aalberg, John",,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/403_.000;#403,,,
404,Aalborg Universitet,university in Denmark [2006],7;#Organizations,,Aalborg Universitet,,,9/13/2011,LASS\DKerr,university in Denmark [2006],,6/20/2013,System Account,,Aalborg Universitet,VList,,,Aalborg Universitet,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/404_.000;#404,,,
405,Aalto University School of Economics,formerly Helsinki School of Economics; in Finland [2010],7;#Organizations,,Aalto University School of Economics,,,9/13/2011,LASS\DKerr,formerly Helsinki School of Economics; in Finland [2010],,6/20/2013,System Account,,Aalto University School of Economics,VList,,,Aalto University School of Economics,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/405_.000;#405,,,
407,Aaron,brother of Moses [2006],1;#People,,Aaron,,,9/13/2011,LASS\DKerr,brother of Moses [2006],,6/20/2013,System Account,,Aaron,People List,,,Aaron,,0,sites/hansard/Lists/NamesTerms,sites/hansard/Lists/NamesTerms/407_.000;#407,,,
